p/c, iter, r∞, r₂, ω
p, 0, 3.9359503, 774.077, 1.0
, 1, 0.37976503, 3.7603583, 1.0
, 2, 0.017062187, 0.019742215, 1.0
, 3, 0.0014813468, 0.00019138573, 1.0
, 4, 0.0001637796, 2.3491505e-6, 1.0
c, 0, 1.6629903, 28.682444, 1.0
, 1, 0.049427465, 0.046646878, 1.0
, 2, 0.0023256317, 0.00017820438, 1.0
, 3, 0.00014920859, 1.436804e-6, 1.0
p, 0, 1.2470758, 73.51279, 1.0
, 1, 0.107384086, 0.3158019, 1.0
, 2, 0.0050682127, 0.0016089395, 1.0
, 3, 0.00042547565, 1.5604235e-5, 1.0
c, 0, 0.24229038, 0.833749, 1.0
, 1, 0.0054915696, 0.0004418306, 1.0
, 2, 0.000119618606, 2.6930155e-7, 1.0
p, 0, 0.312254, 1.7860464, 1.0
, 1, 0.011075143, 0.0017690082, 1.0
, 2, 0.00019583385, 2.359275e-6, 1.0
c, 0, 0.13856612, 0.27607083, 1.0
, 1, 0.0033304319, 0.00015384513, 1.0
, 2, 8.4195286e-5, 1.0174728e-7, 1.0
p, 0, 0.14328128, 0.34697846, 1.0
, 1, 0.0050492627, 0.00028663367, 1.0
, 2, 9.191199e-5, 3.232431e-7, 1.0
c, 0, 0.15961583, 0.31277734, 1.0
, 1, 0.0040881787, 0.00024582064, 1.0
, 2, 0.000112210866, 2.2451847e-7, 1.0
p, 0, 0.139319, 0.18397856, 1.0
, 1, 0.0036288872, 0.00012154656, 1.0
, 2, 8.235825e-5, 1.1034083e-7, 1.0
c, 0, 0.1334168, 0.2156929, 1.0
, 1, 0.0030931095, 0.00016068327, 1.0
, 2, 0.000120576005, 1.3013504e-7, 1.0
p, 0, 0.11443782, 0.1322233, 1.0
, 1, 0.0028181747, 9.399817e-5, 1.0
c, 0, 0.12357175, 0.19964963, 1.0
, 1, 0.0040219165, 0.00013360016, 1.0
, 2, 6.659096e-5, 9.889182e-8, 1.0
p, 0, 0.1464343, 0.22582625, 1.0
, 1, 0.0057762936, 0.00019936339, 1.0
, 2, 0.00010227715, 1.6778368e-7, 1.0
c, 0, 0.1623292, 0.23362987, 1.0
, 1, 0.004489951, 0.00016549953, 1.0
, 2, 6.3410145e-5, 1.0155416e-7, 1.0
p, 0, 0.14360976, 0.10584479, 1.0
, 1, 0.0024229642, 6.552214e-5, 1.0
c, 0, 0.122695506, 0.1801687, 1.0
, 1, 0.003022842, 0.00013952641, 1.0
, 2, 8.083711e-5, 1.1973603e-7, 1.0
p, 0, 0.1296997, 0.18870142, 1.0
, 1, 0.0044687055, 0.00016691913, 1.0
, 2, 9.066705e-5, 9.487743e-8, 1.0
c, 0, 0.07102829, 0.10030964, 1.0
, 1, 0.0015271371, 7.095428e-5, 1.0
p, 0, 0.11510867, 0.20713638, 1.0
, 1, 0.0021643583, 7.992818e-5, 1.0
c, 0, 0.08704239, 0.1045424, 1.0
, 1, 0.002908375, 7.654368e-5, 1.0
p, 0, 0.09027469, 0.11134474, 1.0
, 1, 0.0033793412, 8.449703e-5, 1.0
c, 0, 0.11030322, 0.100773305, 1.0
, 1, 0.0024114102, 6.106449e-5, 1.0
p, 0, 0.0801915, 0.07136401, 1.0
, 1, 0.0033496711, 5.7809364e-5, 1.0
c, 0, 0.06976196, 0.07593394, 1.0
, 1, 0.00235169, 5.093593e-5, 1.0
p, 0, 0.123241924, 0.12601523, 1.0
, 1, 0.004986927, 0.00012398683, 1.0
, 2, 9.986339e-5, 7.94044e-8, 1.0
c, 0, 0.06600982, 0.06748528, 1.0
, 1, 0.0023588892, 5.6000397e-5, 1.0
p, 0, 0.12865216, 0.13203788, 1.0
, 1, 0.0051649623, 0.00013561721, 1.0
, 2, 0.00010495889, 9.436582e-8, 1.0
c, 0, 0.07165676, 0.06768582, 1.0
, 1, 0.002278177, 4.3057902e-5, 1.0
p, 0, 0.11105284, 0.11361185, 1.0
, 1, 0.0043070763, 0.00011312647, 1.0
, 2, 8.754991e-5, 7.520956e-8, 1.0
c, 0, 0.06934555, 0.068923205, 1.0
, 1, 0.001920959, 4.9630216e-5, 1.0
p, 0, 0.09714675, 0.10182441, 1.0
, 1, 0.003950976, 9.491975e-5, 1.0
c, 0, 0.052137017, 0.043128207, 1.0
, 1, 0.0016449708, 3.1993135e-5, 1.0
p, 0, 0.08577665, 0.055167373, 1.0
, 1, 0.0032736287, 4.4292872e-5, 1.0
c, 0, 0.041775733, 0.027208371, 1.0
, 1, 0.0014837449, 1.5522597e-5, 1.0
p, 0, 0.07544127, 0.042217135, 1.0
, 1, 0.0029528812, 3.4567394e-5, 1.0
c, 0, 0.04562497, 0.034631588, 1.0
, 1, 0.0014028447, 2.1521579e-5, 1.0
p, 0, 0.08652449, 0.064688295, 1.0
, 1, 0.0026529562, 4.5038603e-5, 1.0
c, 0, 0.05647987, 0.038319036, 1.0
, 1, 0.0014467202, 3.9946244e-5, 1.0
p, 0, 0.06283368, 0.03386717, 1.0
, 1, 0.002463717, 2.8008157e-5, 1.0
